,datetime,leader,follower
239,2016-10-10 09:43:52,['CCI'],[]
240,2016-10-31 05:41:11,[],[]
241,2016-10-28 10:50:00,"['MSFT', 'BA', 'AAPL']","['V', 'TMUS', 'T', 'MMM', 'GM', 'GE', 'GS', 'KO', 'MRK', 'UTX', 'MS', 'UNH', 'DD', 'TWX', 'CAT']"
242,2020-11-03 14:00:14,[],"['ES', 'PRU']"
243,2017-07-19 04:53:00,['NVR'],['GLW']
244,2019-08-26 04:03:00,[],[]
245,2020-12-10 08:52:18,['FISV'],[]
246,2020-07-21 09:58:00,[],"['BEN', 'PFG']"
247,2019-11-26 01:45:46,[],[]
248,2020-09-02 14:39:00,[],[]
249,2020-10-30 11:10:00,[],[]
250,2017-05-05 09:14:35,[],[]
251,2017-10-25 07:27:01,[],[]
252,2016-05-17 06:30:54,['AFL'],[]
253,2019-09-17 17:45:25,['BAC'],[]
254,2020-04-15 12:31:38,[],[]
255,2016-10-04 05:41:00,['IBM'],"['MSFT', 'AMZN', 'HPE']"
256,2016-01-25 06:33:51,[],[]
257,2019-06-17 08:37:00,[],[]
258,2017-01-10 05:10:00,[],"['BKR', 'CTXS', 'URBN', 'BIIB', 'XOM', 'AMGN', 'CVX', 'BHI']"
259,2020-02-14 11:50:10,[],[]
260,2020-08-12 07:21:00,[],"['MO', 'STZ']"
261,2018-11-09 11:03:13,['KMB'],[]
262,2020-10-16 10:55:22,[],['SPGI']
263,2019-10-31 10:34:16,['DNR'],[]
264,2020-11-20 10:51:05,[],"['BLK', 'CB', 'SPGI']"
265,2017-03-24 07:45:00,['EXC'],"['ETR', 'CNP', 'NEE', 'AAPL']"
266,2020-04-24 07:50:00,[],[]
267,2019-10-25 14:23:47,['GILD'],['VFC']
268,2018-07-04 22:45:00,[],[]
269,2020-09-02 11:58:00,[],[]
270,2020-08-06 11:30:22,['CAG'],[]
271,2016-03-15 09:10:13,[],[]
272,2017-08-09 17:26:00,[],[]
273,2016-10-10 02:58:00,[],['TWTR']
274,2020-04-30 12:34:28,[],[]
275,2019-01-29 10:31:22,['VIAB'],[]
276,2018-06-20 13:10:00,[],"['GS', 'MS']"
277,2016-03-09 04:00:03,[],['IVZ']
278,2018-05-14 05:18:26,[],[]
279,2020-11-20 10:15:12,[],[]
280,2020-07-28 14:43:36,[],"['MLM', 'ECL', 'NOV', 'HES']"
281,2018-01-10 03:16:00,[],[]
282,2018-11-25 06:32:00,[],['PKG']
283,2017-04-26 12:47:02,['PYPL'],"['EBAY', 'V', 'MA', 'AMZN']"
284,2019-05-31 10:22:00,[],"['T', 'CMCSA', 'NFLX', 'VIAB', 'DIS']"
285,2020-12-16 08:33:00,['AAPL'],"['RF', 'SWKS', 'QRVO', 'NVDA']"
286,2017-10-17 12:36:51,[],[]
287,2016-08-04 10:55:03,[],['AAPL']
288,2020-04-30 12:33:58,[],[]
289,2019-01-22 18:51:59,[],[]
290,2019-09-19 17:45:21,[],[]
291,2020-02-14 04:04:36,[],[]
292,2016-12-30 13:13:00,[],"['LMT', 'BA', 'TXT']"
293,2018-08-30 23:53:27,[],['SIG']
294,2020-08-14 08:04:13,[],[]
295,2018-07-23 22:20:00,[],[]
296,2017-02-17 09:06:22,['GIS'],['KHC']
297,2017-11-29 22:00:00,[],[]
298,2018-05-02 11:00:00,[],[]
299,2018-02-13 07:04:00,[],"['AAPL', 'TWTR']"
300,2019-10-15 15:23:35,[],['RJF']
301,2017-07-31 04:12:00,[],['AAPL']
302,2019-06-18 05:00:05,[],"['TMO', 'DHR']"
303,2020-06-11 11:50:17,[],[]
304,2017-04-11 07:44:22,['TWTR'],[]
305,2020-09-02 10:44:00,['HBI'],[]
306,2018-07-17 05:25:00,[],[]
307,2016-04-18 04:07:29,"['AAPL', 'NFLX', 'FB']",['LYV']
308,2019-05-14 04:30:00,[],[]
309,2019-09-11 08:13:33,['MLM'],[]
310,2017-05-10 12:14:25,['EA'],[]
311,2020-05-13 14:56:59,[],[]
312,2018-10-16 17:35:00,[],"['GS', 'MS']"
313,2016-11-09 09:39:55,['PSA'],[]
314,2019-06-13 04:50:11,[],[]
315,2016-04-08 06:44:03,[],"['BAC', 'FRC', 'SIVB']"
316,2017-01-11 05:33:41,[],"['T', 'WMT', 'MCD']"
317,2017-03-20 03:11:00,[],['BRKB']
318,2016-08-18 04:25:00,[],[]
319,2019-05-17 03:32:00,[],[]
320,2020-11-15 07:26:00,[],"['BRKB', 'TWTR', 'INTU']"
321,2020-06-22 22:16:00,[],"['WFM', 'FOX', 'NFLX', 'DIS']"
322,2017-08-27 21:00:00,[],"['MA', 'WMT', 'BAC', 'V', 'T']"
323,2019-03-07 00:25:00,[],[]
324,2018-06-13 05:00:15,[],['BLK']
325,2018-11-28 05:33:00,[],[]
326,2020-12-09 11:40:04,['IVZ'],['TROW']
327,2019-07-30 05:45:00,[],[]
328,2016-12-27 04:13:00,['BIIB'],[]
329,2020-06-08 18:42:00,[],[]
330,2016-01-19 06:33:18,[],[]
331,2016-11-30 11:25:28,[],"['V', 'GS', 'CHK']"
332,2018-03-28 05:18:00,[],[]
333,2019-02-07 05:31:07,[],[]
334,2017-01-30 08:43:00,[],['FHN']
335,2020-02-11 17:25:04,[],[]
336,2018-09-27 11:16:36,[],['PXD']
337,2017-12-13 04:00:03,[],[]
338,2020-06-29 10:05:00,['F'],"['XL', 'KSU']"
339,2017-11-09 07:04:01,[],[]
340,2017-10-18 06:42:44,[],[]
341,2016-08-26 04:38:00,[],[]
342,2017-02-23 05:56:50,[],[]
343,2016-11-29 01:51:00,[],[]
344,2020-12-08 10:06:31,[],[]
345,2020-08-05 19:31:09,[],"['XL', 'LVS', 'PEG']"
346,2020-06-22 11:55:28,[],"['SPG', 'JPM', 'O', 'WFC']"
347,2017-10-24 02:49:48,[],"['T', 'FB']"
348,2019-06-24 05:30:00,['PYPL'],['GOOG']
349,2020-04-09 17:45:19,['OXY'],[]
350,2019-08-23 12:46:31,[],[]
351,2019-11-27 10:49:04,[],['MSCI']
352,2020-08-24 08:21:22,[],[]
353,2020-10-19 12:31:00,[],[]
354,2018-06-21 05:49:00,[],[]
355,2019-05-21 05:09:00,['BA'],[]
356,2020-06-19 17:45:15,['OXY'],[]
357,2020-07-08 08:27:00,[],[]
358,2018-03-01 04:00:03,[],"['SBUX', 'MCD']"
359,2018-07-16 04:51:00,[],[]
360,2018-06-27 06:04:41,[],"['JPM', 'C', 'BAC', 'WFC', 'WMT']"
361,2018-12-01 09:31:39,['TFX'],[]
362,2017-11-09 04:29:00,[],"['FOX', 'AAPL', 'TTWO', 'ATVI']"
363,2020-10-02 11:40:19,[],[]
364,2019-03-01 05:18:24,[],[]
365,2020-11-04 09:10:00,[],"['URI', 'MAS']"
366,2019-06-26 05:14:00,['GIS'],"['FDX', 'AMAT', 'INTC', 'ROL', 'LRCX', 'XLNX', 'MU', 'MO', 'AMD', 'COP', 'WDC', 'NVDA']"
