Date,Ticker,Name,Sector
2012-01-01,LHX,L3Harris Technologies Inc,Industrials
2012-01-01,LLL,L3 Technologies Inc,Industrials
2012-01-01,LLTC,Linear Technology Corp,Information Technology
2012-01-01,LLY,Eli Lilly & Co,Health Care
2012-01-01,LM,Legg Mason Inc,Financials
2012-01-01,LMT,Lockheed Martin Corp,Industrials
2012-01-01,LNC,Lincoln National Corp,Financials
2012-01-01,LO,Lorillard LLC,Consumer Staples
2012-01-01,LOW,Lowe's Cos Inc,Consumer Discretionary
2012-01-01,LUV,Southwest Airlines Co,Industrials
2012-01-01,LXK,Lexmark International Inc,Information Technology
2012-01-01,M,Macy's Inc,Consumer Discretionary
2012-01-01,MA,Mastercard Inc,Information Technology
2012-01-01,MAR,Marriott International Inc/MD,Consumer Discretionary
2012-01-01,MAS,Masco Corp,Industrials
2012-01-01,MAT,Mattel Inc,Consumer Discretionary
2012-01-01,MCD,McDonald's Corp,Consumer Discretionary
2012-01-01,MCHP,Microchip Technology Inc,Information Technology
2012-01-01,MCK,McKesson Corp,Health Care
2012-01-01,MCO,Moody's Corp,Financials
2012-01-01,MDLZ,Mondelez International Inc,Consumer Staples
2012-01-01,MDT,Medtronic PLC,Health Care
2012-01-01,MET,MetLife Inc,Financials
2012-01-01,MHS,Medco Health Solutions Inc,
2012-01-01,MJN,Mead Johnson Nutrition Co,Consumer Staples
2012-01-01,MKC,McCormick & Co Inc/MD,Consumer Staples
2012-01-01,MMC,Marsh & McLennan Cos Inc,Financials
2012-01-01,MMM,3M Co,Industrials
2012-01-01,MO,Altria Group Inc,Consumer Staples
2012-01-01,MOLX,Molex LLC/US,
2012-01-01,MON,Monsanto Co,Materials
2012-01-01,MOS,Mosaic Co/The,Materials
2012-01-01,MPC,Marathon Petroleum Corp,Energy
2012-01-01,MRK,Merck & Co Inc,Health Care
2012-01-01,MRO,Marathon Oil Corp,Energy
2012-01-01,MS,Morgan Stanley,Financials
2012-01-01,MSFT,Microsoft Corp,Information Technology
2012-01-01,MSI,Motorola Solutions Inc,Information Technology
2012-01-01,MTB,M&T Bank Corp,Financials
2012-01-01,MU,Micron Technology Inc,Information Technology
2012-01-01,MUR,Murphy Oil Corp,Energy
2012-01-01,MWV,WestRock MWV LLC,Materials
2012-01-01,MYL,Mylan NV,Health Care
2012-01-01,NBL,Noble Energy Inc,Energy
2012-01-01,NBR,Nabors Industries Ltd,Energy
2012-01-01,NDAQ,Nasdaq Inc,Financials
2012-01-01,NE,Noble Corp plc,Energy
2012-01-01,NEE,NextEra Energy Inc,Utilities
2012-01-01,NEM,Newmont Corp,Materials
2012-01-01,NFLX,Netflix Inc,Communication Services
2012-01-01,NFX,Newfield Exploration Co,Energy
